epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4309,2.28754,4.00028,2.23536,0.00364,0.80223,0.22173,0.06759,2.01387,3.37095,2.01014,0.00053979,0.00053979,0.00053979
2,24.7021,1.9388,2.98262,1.80068,0.82898,0.31244,0.37494,0.11299,1.95964,2.84811,2.08374,0.00107738,0.00107738,0.00107738
3,35.658,1.86091,2.57025,1.79645,0.69814,0.22293,0.22378,0.06056,2.2566,4.93795,2.40735,0.00159664,0.00159664,0.00159664
4,48.7772,1.87849,2.34215,1.77495,0.48202,0.47734,0.46826,0.17547,1.88547,3.07697,1.89683,0.00158448,0.00158448,0.00158448
5,64.3718,1.83567,2.2202,1.77225,0.18521,0.18554,0.09058,0.02656,2.46816,4.60681,2.54286,0.00155698,0.00155698,0.00155698
6,79.9233,1.79027,2.08166,1.73395,0.7003,0.57087,0.61472,0.24629,1.87173,1.82483,1.88203,0.00152947,0.00152947,0.00152947
7,98.2835,1.81034,1.96332,1.75372,0.45432,0.46567,0.45614,0.15346,2.05239,2.05688,2.10326,0.00150197,0.00150197,0.00150197
8,119.62,1.77911,1.87162,1.71851,0.49775,0.57416,0.52478,0.1939,1.92746,2.26409,1.9323,0.00147446,0.00147446,0.00147446
9,140.319,1.78457,1.84525,1.74415,0.49959,0.48519,0.44563,0.14458,1.96103,2.19083,1.99606,0.00144696,0.00144696,0.00144696
10,161.484,1.79723,1.82146,1.7244,0.61436,0.55076,0.60749,0.22401,1.98912,1.66607,1.88719,0.00141945,0.00141945,0.00141945
11,186.435,1.76495,1.7455,1.72737,0.62055,0.61642,0.6358,0.23558,1.89235,1.65648,1.91832,0.00139195,0.00139195,0.00139195
12,201.69,1.75326,1.7054,1.68597,0.48149,0.37758,0.32859,0.09631,2.11478,2.02257,2.06003,0.00136444,0.00136444,0.00136444
13,216.871,1.75311,1.65387,1.66934,0.57916,0.53158,0.5509,0.20854,1.94096,1.75427,1.86633,0.00133693,0.00133693,0.00133693
14,232.08,1.73134,1.64466,1.70342,0.47239,0.57912,0.50428,0.20021,1.84232,1.99026,1.89315,0.00130943,0.00130943,0.00130943
15,247.425,1.71297,1.58714,1.72336,0.82985,0.57816,0.69916,0.29789,1.82068,1.48327,1.88026,0.00128192,0.00128192,0.00128192
16,262.754,1.68379,1.63638,1.6896,0.80942,0.53127,0.64389,0.25491,1.88439,1.50563,1.88953,0.00125442,0.00125442,0.00125442
17,273.407,1.69782,1.5908,1.69221,0.64946,0.60268,0.59448,0.22921,1.83896,1.5737,1.83582,0.00122691,0.00122691,0.00122691
18,285.849,1.6981,1.56824,1.66601,0.59679,0.54257,0.60183,0.23883,1.83864,1.72992,1.82755,0.00119941,0.00119941,0.00119941
19,301.469,1.70653,1.55851,1.68977,0.72009,0.60242,0.69192,0.28234,1.92152,1.55177,1.93279,0.0011719,0.0011719,0.0011719
20,316.848,1.72943,1.54595,1.69954,0.65945,0.60437,0.63544,0.2514,1.97372,1.5082,1.9202,0.0011444,0.0011444,0.0011444
21,331.978,1.69015,1.53106,1.6739,0.69913,0.63554,0.66512,0.29035,1.84595,1.47841,1.86947,0.00111689,0.00111689,0.00111689
22,347.287,1.69957,1.55431,1.67304,0.80094,0.67038,0.71964,0.29328,1.85938,1.45287,1.84635,0.00108938,0.00108938,0.00108938
